JobID,Skill,Competency,Sector,Track,Grade,JobRole
101,Business Acumen ,4,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Business Negotiation ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Capital Raising ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Cash Flow Management ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Claims Management ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Conflict Management ,2,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Corporate and Business Law ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Data Analytics ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Data Governance ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Data Storytelling and Visualisation ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Debt Restructuring ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Financial Analysis ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Financial Management ,2,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Financial Modelling ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Financial Statements Analysis ,4,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Professional and Business Ethics ,3,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
101,Project Execution and Control ,2,Accountancy,Restructuring and Insolvency,3,Restructuring and Insolvency Associate/Restructuring and Insolvency Executive
